,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
39,"猫 〜THE FIRST TAKE ver.〜",DISH//,118323,https://open.spotify.com/track/25BJRpLBe3i6d8okphoRAm
40,"Make you happy",NiziU,117330,https://open.spotify.com/track/1LnJVIG1BaHTRznuOgR0yc
41,たぶん,YOASOBI,114619,https://open.spotify.com/track/398dL22bDbKbAmiOnPaq7o
42,白日,"King Gnu",114440,https://open.spotify.com/track/172fMG26G2OoEzzg0wn26r
43,"Walking with you",Novelbright,113915,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
44,点描の唄,"Mrs. GREEN APPLE",110346,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
45,"I Love...","Official HIGE DANdism",110269,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
46,恋人ごっこ,"Macaroni Empitsu",106847,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
47,"Broken Heart of Gold","ONE OK ROCK",106334,https://open.spotify.com/track/5DLqCKIi1lquKvGTIjlf6I
48,"snow jam",Rin音,105787,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
49,"Poppin' Shakin'",NiziU,104342,https://open.spotify.com/track/0jfFu1W96AlrsMqXSZZlSt
50,"One Last Kiss","Hikaru Utada",103101,https://open.spotify.com/track/5RhWszHMSKzb7KiXk4Ae0M
51,あいつら全員同窓会,ZUTOMAYO,94290,https://open.spotify.com/track/2VIK6jaaKghS4QPHr6sAkv
52,Alcohol-Free,TWICE,82821,https://open.spotify.com/track/3iPbmpKBMflYd7UjdYftoj
53,Buddy,HIRAIDAI,75619,https://open.spotify.com/track/7xfPyBgb9om8iUooItxHl8
54,CITRUS,Da-iCE,73673,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR
55,YOKAZE,"HENTAI SHINSHI CLUB",72144,https://open.spotify.com/track/6tkSMR8bEIfEcJn7ybJtSP
56,愛を知るまでは,Aimyon,70500,https://open.spotify.com/track/5gh0y6ZmuppQvoPbAGkeE2
57,ツキミソウ,Novelbright,70158,https://open.spotify.com/track/6sElEqOIGENWjpxGFeo5ct
58,"Life Goes On",BTS,69968,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
59,ピーターパン,優里,68064,https://open.spotify.com/track/0Ic9yiyHCoRCSvPoqTagat
60,ゆめうつつ,"Kenshi Yonezu",67984,https://open.spotify.com/track/3LiCxI36JZmzUxlS8KAeW2
61,"Boy With Luv (feat. Halsey)",BTS,67809,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
62,グッバイ宣言,Chinozo,63645,https://open.spotify.com/track/2gbVuqze7bpndIy1q9rFvv
63,Mela!,"Ryokuoushoku Shakai",63475,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD
64,10月無口な君を忘れる,あたらよ,61265,https://open.spotify.com/track/006u4CXVO2cusq08RrMElQ
65,春泥棒,ヨルシカ,61026,https://open.spotify.com/track/1rr2DJOxV0sHXeUXCAz1yf
66,"Our Style",WILYWNKA,58404,https://open.spotify.com/track/2r31qQymHkEhfXlaBewBNb
67,"Stay Gold",BTS,57997,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
68,題名のない今日,HIRAIDAI,57120,https://open.spotify.com/track/6skNbV22epX2yHu4O2hYSx
69,優しい彗星,YOASOBI,57103,https://open.spotify.com/track/19fhOFi6pNGeZe5uiFlm7c
70,紅蓮華,LiSA,56817,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
71,あの夢をなぞって,YOASOBI,56804,https://open.spotify.com/track/5ptl2PXkiSth54HCuGO7vN
72,マリーゴールド,Aimyon,56247,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
73,分かってないよ,WurtS,55841,https://open.spotify.com/track/5wosJVYKzl3g7XElM98m23
74,怪獣の花唄,Vaundy,55396,https://open.spotify.com/track/4W29WmnGN1FlufURaBt8yw
75,世界の秘密,Vaundy,55340,https://open.spotify.com/track/2T7ZvJAtL7xK04ww5rbmvo
76,"Step and a step",NiziU,54380,https://open.spotify.com/track/5DgAgJbHcm74RyA9YKj6k1
77,"Kura Kura",TWICE,53737,https://open.spotify.com/track/0SiX8tNiIZskZrPiAh6XxX
78,ただ君に晴れ,ヨルシカ,53414,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
79,正しくなれない,ZUTOMAYO,52547,https://open.spotify.com/track/2FHexlZenTsS3lsjUYHiDx
80,CHILDAYS,"BLOOM VASE",51213,https://open.spotify.com/track/1g1AXdio16Yh5SXgPBXcfq
81,Lemon,"Kenshi Yonezu",50919,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6
82,Answer,幾田りら,50690,https://open.spotify.com/track/5hVAQTNarrb3lmWqg9Ens4
83,青と夏,"Mrs. GREEN APPLE",50075,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
84,又三郎,ヨルシカ,47878,https://open.spotify.com/track/3WtIXrla0ovC9MOIY78Vr8
85,silent,"SEKAI NO OWARI",47482,https://open.spotify.com/track/6c5k0VC9TBzlcKwtjpzFW2
