,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
112,River,"Tom Gregory",379705,https://open.spotify.com/track/6jmIUrOD5seJEh6Z6RP2xz
113,"I WANNA BE YOUR SLAVE",Måneskin,377057,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
114,"Cosmos - feat. PLK",Rim'K,375538,https://open.spotify.com/track/5hM1Bta5Ej1rRyOXStRIzH
115,"Titans (feat. Sia & Labrinth)","Major Lazer",374340,https://open.spotify.com/track/3MCteyAIvFaMpXtHd7lmh1
116,"WITHOUT YOU","The Kid LAROI",373777,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
117,"Hecha Pa' Mi",Boza,371741,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
118,Polémique,"Freeze corleone",370924,https://open.spotify.com/track/5cTitJ7nqx8eeJCNIgdHjp
119,"Elles ont trop joué avec mon cœur",Jok'air,369983,https://open.spotify.com/track/5SqR7dxbJiTSadTaVEhZ04
120,"Mango - Extrait de la BO de « En Passant Pécho »",Kore,369795,https://open.spotify.com/track/1mKg1S2CE0plkFkKRnZCwl
121,"Vie de star (feat. Ninho)",Leto,369776,https://open.spotify.com/track/7toL2moA2sVueHJKDhVD0n
122,"Mother Fuck",Jul,362968,https://open.spotify.com/track/0QMHp1X3B5BGN6J3HynHT1
123,"Joli bébé",Naza,362798,https://open.spotify.com/track/1J4oMIhWDUd9cI1urhEyjl
124,Yonaguni,"Bad Bunny",359397,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
125,Boyz,DTF,357354,https://open.spotify.com/track/6ft69yDa4wcxA1dh1thuIj
126,"En détente",Naps,356840,https://open.spotify.com/track/5HerMpAegwiAAFOIXNCxED
127,Angela,Hatik,356008,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
128,"Pour de vrai",Vianney,349030,https://open.spotify.com/track/6ixKI6i2vg8mTVtdzsGHYD
129,Alicante,Gambino,346959,https://open.spotify.com/track/6LuAw59JilwQieOcFW6vfe
130,beau-papa,Vianney,345781,https://open.spotify.com/track/5wXkbtZO1HsOQ1P75zi35p
131,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",339954,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
132,"Freeze Raël","Freeze corleone",337559,https://open.spotify.com/track/6DPrYPPGYK218iVIZDix3i
133,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,336097,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
134,Footballeur,Vald,331335,https://open.spotify.com/track/2UnICGCIkxYsWnQ7taGnsN
135,"9 1 1 3 (feat. SCH)",Zola,327376,https://open.spotify.com/track/3WCMzZvH2zK476lasbLx0s
136,"Having Our Way (feat. Drake)",Migos,322781,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
137,"Grand bain",Dadju,322463,https://open.spotify.com/track/0W4MOQ2kTOm1y7ooahgQP1
138,"LOPSA STORY",1PLIKÉ140,321884,https://open.spotify.com/track/5IDnEkOCdOp1F0XTAMG3Rk
139,Whoopty,CJ,320364,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
140,Zipette,Ninho,318164,https://open.spotify.com/track/1Lulg5ZiMEXy3QNwb1PB8I
141,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,317339,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
142,"Chez nous",ISK,316735,https://open.spotify.com/track/7tSvju3LNrm3Lf2aw8raG0
143,"The Business",Tiësto,316483,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
