,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
97,"Dick (feat. Doja Cat)",StarBoi3,1989598,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
98,"The Spins","Mac Miller",1987610,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
99,Ski,"Young Stoner Life",1932730,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
100,Robbery,"Juice WRLD",1923120,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
101,"Electric Love",BØRNS,1918785,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
102,"Up The Side (feat. Young Thug)","Lil Baby",1900026,https://open.spotify.com/track/2L6lh2RmMs1yz4FQzdbwOn
103,"Blueberry Faygo","Lil Mosey",1897171,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
104,"Don't Start Now","Dua Lipa",1892923,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
105,"Mr. Brightside","The Killers",1884167,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
106,"Chasing After You (with Maren Morris)","Ryan Hurd",1881885,https://open.spotify.com/track/1ZIKpMTRPqhwAoVXWY3tXI
107,"i n t e r l u d e","J. Cole",1880291,https://open.spotify.com/track/08LwMWf5Tcfsd752EPzFV0
108,Tampa,"Cico P",1875891,https://open.spotify.com/track/5jc4Qcs98R4ZDku8ictuE3
109,"Seeing Green (with Drake & Lil Wayne)","Nicki Minaj",1874995,https://open.spotify.com/track/1TZv3bujNaYz646eezRE91
110,"Talking to the Moon","Bruno Mars",1866490,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
111,"Killer (feat. Jack Harlow & Cordae) - Remix",Eminem,1864888,https://open.spotify.com/track/7zl7kehxesNEo2pYkKXTSe
112,"Whiskey Glasses","Morgan Wallen",1862559,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
113,positions,"Ariana Grande",1858424,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
114,goosebumps,"Travis Scott",1846846,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
115,"Someone You Loved","Lewis Capaldi",1835929,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
116,"By Your Side (feat. Tom Grennan)","Calvin Harris",1834597,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
117,"How It Feels","Lil Baby",1828937,https://open.spotify.com/track/62nb5YUYUqtYJhVPwRhCke
118,"u love u (with Tate McRae)",blackbear,1827811,https://open.spotify.com/track/1xBQDoxqFyloelbnfju8na
119,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money",1827083,https://open.spotify.com/track/2IePEfMAtqWS6rLXXFZIgI
120,"The Box","Roddy Ricch",1826090,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
121,"Big Gangsta","Kevin Gates",1817954,https://open.spotify.com/track/03ERnTvSV5fy8WAyvA4uNP
122,"9 5 . s o u t h","J. Cole",1816903,https://open.spotify.com/track/5R691ipUYRDYW6ehapjoj6
123,"hot girl bummer",blackbear,1812590,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
124,"20 Min","Lil Uzi Vert",1808095,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
125,"Misery Business",Paramore,1803993,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU
126,Arcade,"Duncan Laurence",1802199,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
127,Dynamite,BTS,1791597,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
128,"The Business",Tiësto,1776529,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
129,"Wasted On You","Morgan Wallen",1772385,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
130,"Tongue Tied",Grouplove,1772062,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
131,"you broke me first","Tate McRae",1760414,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
132,"Daddy Issues","The Neighbourhood",1739469,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
133,"Life Is Good (feat. Drake)",Future,1735120,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
134,21,"Polo G",1733478,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
135,"Therefore I Am","Billie Eilish",1728296,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
136,Heather,"Conan Gray",1725363,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
137,"Cloud 9","Beach Bunny",1711694,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
138,"Knock Knock",SoFaygo,1711419,https://open.spotify.com/track/6aHoPULNO7pSL2ZfUY0bU8
139,"Washing Machine Heart",Mitski,1673146,https://open.spotify.com/track/4Ys8jQvZOISzmp34BsImRf
140,"On Me","Lil Baby",1669027,https://open.spotify.com/track/4Iedi94TIaB2GGb1nMB68v
141,"More Than My Hometown","Morgan Wallen",1663341,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
142,"Still Hood","Lil Baby",1645478,https://open.spotify.com/track/1huoY7hw3hGVGfuPPe9y8P
143,"Beautiful Crazy","Luke Combs",1640903,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
144,"LA NOCHE DE ANOCHE","Bad Bunny",1634241,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
145,"The Good Ones","Gabby Barrett",1630728,https://open.spotify.com/track/3hLuHKzG1cmlRpq53ZVWd8
146,"Time Today","Moneybagg Yo",1629530,https://open.spotify.com/track/0YrKSfpvflYnLSBd4Jtu6J
147,"The Less I Know The Better","Tame Impala",1628013,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
148,"Famous Friends","Chris Young",1622975,https://open.spotify.com/track/4iXDn9pu5Q9sxv45vE8Lak
149,"SLOW DANCING IN THE DARK",Joji,1605434,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
150,"Tennessee Whiskey","Chris Stapleton",1601777,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
151,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1599709,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
152,"Jocelyn Flores",XXXTENTACION,1595210,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
153,"XO Tour Llif3","Lil Uzi Vert",1595029,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
154,"Chicken Fried","Zac Brown Band",1592456,https://open.spotify.com/track/3eBnEo9WL34ulBCZlLpUQO
155,"Godzilla (feat. Juice WRLD)",Eminem,1586577,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
156,"Don't Stop Believin'",Journey,1586575,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
157,"Adore You","Harry Styles",1585058,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
158,"Man of my Word","Lil Baby",1582145,https://open.spotify.com/track/4nNw167LUp6j2VvuJdbtv8
159,"Are You Bored Yet? (feat. Clairo)",Wallows,1581557,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
160,"Glad You Exist","Dan + Shay",1579949,https://open.spotify.com/track/472vIK1ldetTxRxG3ovaiY
161,734,"Juice WRLD",1578864,https://open.spotify.com/track/6vB8bdQCCTDDIH8fhRfuXA
162,"MIDDLE CHILD","J. Cole",1576718,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
163,"Everybody Talks","Neon Trees",1576166,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
164,"Sure Thing",Miguel,1570112,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV
165,Masterpiece,DaBaby,1569225,https://open.spotify.com/track/26UxwWl9xCb83OynXELJcL
166,"Cigarette Daydreams","Cage The Elephant",1567649,https://open.spotify.com/track/0lkQOB949M2gLyut86aJ1b
167,"lovely (with Khalid)","Billie Eilish",1566401,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
168,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1558547,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
169,"Ric Flair Drip (& Metro Boomin)",Offset,1558118,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
170,Okay,"Lil Baby",1556639,https://open.spotify.com/track/3jweuceENR5zzn10LhcjPH
171,Dior,"Pop Smoke",1548538,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
172,Twerkulator,"City Girls",1539719,https://open.spotify.com/track/2Ty7EDf9XLYzEUqEIwJfDC
173,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1538204,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
174,Bang!,AJR,1536582,https://open.spotify.com/track/5FQPpxOXsvkMN6v18gtpwY
175,Runaway,AURORA,1528786,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
176,"Botella Tras Botella","Gera MX",1527703,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
177,"7 Summers","Morgan Wallen",1526619,https://open.spotify.com/track/4obHzpwGrjoTuZh2DItEMZ
178,Whoopty,CJ,1519492,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
179,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",1518579,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
180,"When It Rains It Pours","Luke Combs",1517436,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
181,"Drankin N Smokin",Future,1500560,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv
182,"Sand In My Boots","Morgan Wallen",1497490,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
183,"Tyler Herro","Jack Harlow",1494998,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
184,"SICKO MODE","Travis Scott",1493943,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
185,"Would You Go With Me","Josh Turner",1491137,https://open.spotify.com/track/1KhrAWvLIjRlQIJtSTgvsi
186,"Chasin' You","Morgan Wallen",1489983,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
187,"Put Your Records On","Ritt Momney",1485412,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
