,TrackID,Position,TrackName,Artist,Streams,URL,Appears,Rank,SongIDs,Danceability,Energy,Acousticness,Analysis_URL,Duration_MS,Spotify_Song_ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Track_Href,Search_Type,URI,Valence,Artist_Genres
177,24,178,FAKE LOVE,BTS,189191,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,15,25,3aW0ds4A4tSQDIp75FqWTo,0.557,0.719,0.00267,https://api.spotify.com/v1/audio-analysis/3aW0ds4A4tSQDIp75FqWTo,242334,3aW0ds4A4tSQDIp75FqWTo,0.0,2,0.306,-4.515,0,0.0372,77.501,4,https://api.spotify.com/v1/tracks/3aW0ds4A4tSQDIp75FqWTo,audio_features,spotify:track:3aW0ds4A4tSQDIp75FqWTo,0.344,"['k-pop', 'k-pop boy group']"
185,25,186,Blue & Grey,BTS,183718,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl,15,26,0n2moJpAEWHwaPYYjkzMDl,0.547,0.605,0.42,https://api.spotify.com/v1/audio-analysis/0n2moJpAEWHwaPYYjkzMDl,254950,0n2moJpAEWHwaPYYjkzMDl,0.0,8,0.125,-6.755,1,0.0415,121.953,4,https://api.spotify.com/v1/tracks/0n2moJpAEWHwaPYYjkzMDl,audio_features,spotify:track:0n2moJpAEWHwaPYYjkzMDl,0.364,"['k-pop', 'k-pop boy group']"
190,26,191,Euphoria,BTS,180807,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0,15,27,3p6hnejEQYXkiTO1lAzVc0,0.637,0.799,0.394,https://api.spotify.com/v1/audio-analysis/3p6hnejEQYXkiTO1lAzVc0,228615,3p6hnejEQYXkiTO1lAzVc0,0.0,2,0.0921,-4.519,1,0.0338,104.995,4,https://api.spotify.com/v1/tracks/3p6hnejEQYXkiTO1lAzVc0,audio_features,spotify:track:3p6hnejEQYXkiTO1lAzVc0,0.562,"['k-pop', 'k-pop boy group']"
7,27,8,勿忘,Awesome City Club,1387929,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h,1,28,0XZyF9lv6diMt4bxThOL0h,0.448,0.447,0.234,https://api.spotify.com/v1/audio-analysis/0XZyF9lv6diMt4bxThOL0h,251533,0XZyF9lv6diMt4bxThOL0h,0.0,6,0.382,-7.161,0,0.045,78.861,4,https://api.spotify.com/v1/tracks/0XZyF9lv6diMt4bxThOL0h,audio_features,spotify:track:0XZyF9lv6diMt4bxThOL0h,0.299,"['city pop', 'j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese r&b']"
21,28,22,アンコール,YOASOBI,919799,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC,10,29,465JzFiajJO59sUrDFsxdC,0.682,0.669,0.283,https://api.spotify.com/v1/audio-analysis/465JzFiajJO59sUrDFsxdC,271440,465JzFiajJO59sUrDFsxdC,1e-06,2,0.145,-4.741,1,0.0275,81.999,4,https://api.spotify.com/v1/tracks/465JzFiajJO59sUrDFsxdC,audio_features,spotify:track:465JzFiajJO59sUrDFsxdC,0.831,"['j-pop', 'japanese teen pop']"
24,29,25,ハルジオン,YOASOBI,898938,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv,10,30,08YwAPnX8sygJUXG9rvhDv,0.687,0.873,0.0545,https://api.spotify.com/v1/audio-analysis/08YwAPnX8sygJUXG9rvhDv,198600,08YwAPnX8sygJUXG9rvhDv,0.0,8,0.318,-3.852,1,0.0335,130.024,4,https://api.spotify.com/v1/tracks/08YwAPnX8sygJUXG9rvhDv,audio_features,spotify:track:08YwAPnX8sygJUXG9rvhDv,0.884,"['j-pop', 'japanese teen pop']"
26,30,27,ハルカ,YOASOBI,878441,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv,10,31,5D9MPWdY2hjSeTIGE5n5kv,0.712,0.817,0.0717,https://api.spotify.com/v1/audio-analysis/5D9MPWdY2hjSeTIGE5n5kv,243613,5D9MPWdY2hjSeTIGE5n5kv,7.21e-06,1,0.146,-5.123,1,0.0279,100.016,4,https://api.spotify.com/v1/tracks/5D9MPWdY2hjSeTIGE5n5kv,audio_features,spotify:track:5D9MPWdY2hjSeTIGE5n5kv,0.679,"['j-pop', 'japanese teen pop']"
32,31,33,Pretender,Official HIGE DANdism,824066,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU,10,32,15HNdxGKNCIO9pgaY4n7FU,0.538,0.869,0.047,https://api.spotify.com/v1/audio-analysis/15HNdxGKNCIO9pgaY4n7FU,326843,15HNdxGKNCIO9pgaY4n7FU,0.0,8,0.14,-3.464,1,0.0275,91.972,4,https://api.spotify.com/v1/tracks/15HNdxGKNCIO9pgaY4n7FU,audio_features,spotify:track:15HNdxGKNCIO9pgaY4n7FU,0.369,"['anime', 'anime rock', 'j-pop']"
37,32,38,115万キロのフィルム,Official HIGE DANdism,783338,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7,10,33,278JqkBGkjDovOYAwE8TW7,0.516,0.791,0.00345,https://api.spotify.com/v1/audio-analysis/278JqkBGkjDovOYAwE8TW7,324633,278JqkBGkjDovOYAwE8TW7,0.0,3,0.141,-1.927,1,0.0318,96.921,4,https://api.spotify.com/v1/tracks/278JqkBGkjDovOYAwE8TW7,audio_features,spotify:track:278JqkBGkjDovOYAwE8TW7,0.48,"['anime', 'anime rock', 'j-pop']"
41,33,42,たぶん,YOASOBI,771429,https://open.spotify.com/track/398dL22bDbKbAmiOnPaq7o,10,34,398dL22bDbKbAmiOnPaq7o,0.748,0.661,0.157,https://api.spotify.com/v1/audio-analysis/398dL22bDbKbAmiOnPaq7o,256773,398dL22bDbKbAmiOnPaq7o,0.00102,5,0.101,-6.702,1,0.0334,90.003,4,https://api.spotify.com/v1/tracks/398dL22bDbKbAmiOnPaq7o,audio_features,spotify:track:398dL22bDbKbAmiOnPaq7o,0.743,"['j-pop', 'japanese teen pop']"
