,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
87,Flugangst,Fourty,679769,https://open.spotify.com/track/35sMaFXKwu4q4o19iLpdxC
88,Strip,Lena,676785,https://open.spotify.com/track/6YAbciQiCPFDURL31TgtdH
89,Bloodstream,twocolors,667677,https://open.spotify.com/track/236irGwQHCBQnRJs2zgoib
90,"Lost Cause","Billie Eilish",667205,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
91,"WITHOUT YOU","The Kid LAROI",660968,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
92,"Build a Bitch","Bella Poarch",647361,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
93,"BAD EYEZ",Nimo,631423,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
94,"Rise Up (feat. Vamero)",VINAI,624205,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
95,Arcade,"Duncan Laurence",624042,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
96,Traffic,Lucio101,620404,https://open.spotify.com/track/5KM1EXLcddixJNYv1Hqukk
97,"Follow You","Imagine Dragons",613852,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
98,"NO DEFENCE",Mert,610574,https://open.spotify.com/track/6Vl7aHec1YHO9ZjRQElcJq
99,Airwaves,Pashanim,610461,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
100,"Wellerman - Sea Shanty","Nathan Evans",603457,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
101,Lovefool,twocolors,598091,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
102,"Roses - Imanbek Remix","SAINt JHN",592914,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
103,VIELLEICHT,Genetikk,585009,https://open.spotify.com/track/2pmqN64jto4fetSdZvHXOk
104,Lila,Kida,583030,https://open.spotify.com/track/4uzjXVcYivDXD5FHKwVVTR
105,"Breaking Me",Topic,581022,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
106,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",580489,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
107,"Love Again (feat. Alida)",Alok,579271,https://open.spotify.com/track/63bWXWGcWnRQvdS8bJWdkB
108,"Heat Waves","Glass Animals",573042,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
109,"Rolling Loud",Jalil,572088,https://open.spotify.com/track/1lNJFfLRg8oQQuJAlLH6kO
110,"Easy Peasy",FiNCH,567035,https://open.spotify.com/track/6bW4olKzz8M2BRYNU1ASUi
111,"Das ist alles von der Kunstfreiheit gedeckt","Danger Dan",566677,https://open.spotify.com/track/5axr5HmbZwBFHkc9mlU5aC
112,Goosebumps,HVME,562654,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
113,"My Head & My Heart","Ava Max",559542,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
114,"Dancing On Dangerous (feat. Sofía Reyes)",Imanbek,557345,https://open.spotify.com/track/6OYZvwKN8GaauTrJS1TuuH
115,"Niemand bringt Marten um",Marteria,555224,https://open.spotify.com/track/0nYSnbFVX5ghrERjwVZgwZ
116,"Gangsta's Paradise",Coolio,553848,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
117,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",553776,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
118,"Geh Allein",t-low,553058,https://open.spotify.com/track/1MAqcAU0vwCpDosgRzoEHV
119,Unterwegs,KitschKrieg,550409,https://open.spotify.com/track/7mrWTjhYctgEQb0lJKrVWy
120,"HAPPY BIRTHDAY (feat. Jamule)",Jamule,549942,https://open.spotify.com/track/3bmhalgSjoDFfDwdu21aws
121,"All We Got (feat. KIDDO)","Robin Schulz",545489,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
122,"Watermelon Sugar","Harry Styles",542429,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
123,"Ti Harro",Azet,538039,https://open.spotify.com/track/36SeOy5oh48qbXGP1DnY6C
124,"Bad Bitch",Eunique,534348,https://open.spotify.com/track/4Zw1q30iIprby9j9nV8O4O
125,"Dance Monkey","Tones And I",533963,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
126,"Savage Love (Laxed - Siren Beat)","Jawsh 685",529586,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
127,"The One","Rea Garvey",528256,https://open.spotify.com/track/6j0l7Hjt6qeDCQnYBZuJXY
128,"Копия пиратская",Mekhman,527341,https://open.spotify.com/track/77xp5NlTBLmomb10ktsH4Q
129,"Where The Lights Are Low","Toby Romeo",526043,https://open.spotify.com/track/0Cnb8XdGDMHAmIRBUJMkIS
130,Marilyn,Marteria,525104,https://open.spotify.com/track/6xR3FozPJRyIlaNU48pXV7
131,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,524763,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
132,traitor,"Olivia Rodrigo",523016,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
133,Wach,Ra'is,519977,https://open.spotify.com/track/0NBMxYF26f1KWxqIdxbQ0m
134,Freaks,"Surf Curse",518724,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
135,"Having Our Way (feat. Drake)",Migos,511955,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
136,"Ride It",Regard,507491,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
137,Hypnotized,"Purple Disco Machine",504745,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
138,BOUNCE,KALIM,503405,https://open.spotify.com/track/1SVI1xBJz23bUK3HrX8Kka
139,Ordentlich,t-low,500420,https://open.spotify.com/track/40mI1rlWiHarvMDtBvPnhW
140,Whoopty,CJ,496999,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
141,"Wenn ich wein",AYLIVA,496930,https://open.spotify.com/track/4Wuu6qS3D0Veevv2ZtbbrD
142,"Todo De Ti","Rauw Alejandro",496048,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
143,Stay,"Michael Schulte",496028,https://open.spotify.com/track/0S5CurjBT1nbbD4YFTRrRv
144,"We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song","Martin Garrix",495425,https://open.spotify.com/track/2iL0W5qi0ivZ9WRXbZ74cS
145,Paradise,VIZE,493779,https://open.spotify.com/track/2qpZjutAe3pstQsjwSXQb4
146,happier,"Olivia Rodrigo",492869,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
147,"Ohne mein Team","Bonez MC",491320,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
148,"Memories (feat. Kid Cudi)","David Guetta",489251,https://open.spotify.com/track/0Xh6R6XLoTDRBYriQRgkHj
149,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",482296,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
150,"Ich ficke euch (alle)",K.I.Z,477617,https://open.spotify.com/track/0ggal2fI5xr8gtOVIhLKke
151,"Solar Power",Lorde,477577,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
152,"Goosebumps - Remix","Travis Scott",477101,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
153,"you broke me first","Tate McRae",473612,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
154,"Allein sein","Mario Novembre",466739,https://open.spotify.com/track/11NFxVnEwPDz4LjIyKazxV
155,"Lost (feat. TOPIC42)",Samra,465364,https://open.spotify.com/track/6ScxCBZE1yKr8Y0Ynl7kTl
156,"Alles nur Image",Soufian,463495,https://open.spotify.com/track/5afmVzxz4UwrFfnJeijzVK
157,"Sweet Dreams","Alan Walker",462404,https://open.spotify.com/track/4uDhts78RdwIDjEqPrYVKp
158,Heimkommen,Fourty,458597,https://open.spotify.com/track/64ZyI00DBUUigpTanQqA0l
159,"In the End","Linkin Park",457099,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
160,Yonaguni,"Bad Bunny",456513,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
161,Thunder,"Gabry Ponte",454030,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
162,"Saufen aufm Spielplatz",BroyS,452659,https://open.spotify.com/track/2qa4plPe9puo6TUIP3uKWT
163,"Jalebi Baby (Tesher x Jason Derulo)",Tesher,452295,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8
164,"Love Tonight - Edit",Shouse,449882,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
165,Overdose,Jamule,449290,https://open.spotify.com/track/2z7QFsLAqNTGEtgAU6rS6W
166,"Never Let Me Down",VIZE,446480,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
167,Aventador,Azet,444217,https://open.spotify.com/track/5CGfvaF7I6zUHbBvhqmJQZ
168,Summer,"Calvin Harris",442641,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05
169,"Die guten Zeiten","Wincent Weiss",436515,https://open.spotify.com/track/62d30BdDeSz8D9TFc3wx6m
170,"Lemon Tree","Alle Farben",436441,https://open.spotify.com/track/6sGeBxS4PIEtZdWpgdnitV
171,Bläulich,"Apache 207",435517,https://open.spotify.com/track/2WRTnY0slmFgWcrmEr8dPj
172,Vacation,"Dirty Heads",431919,https://open.spotify.com/track/7lgvGRC1gN0JGgY9VGXsQT
173,"Core (That's Who We Are)",VIZE,425926,https://open.spotify.com/track/3uqpYoSWRSnkW3jX9b94wO
174,"No Return (with The Kid LAROI & Lil Durk)","Polo G",421713,https://open.spotify.com/track/23OYT3SFtoJqhiAUqktbc1
175,"Sweater Weather","The Neighbourhood",419556,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
176,"Unterfickt und geistig behindert",K.I.Z,418890,https://open.spotify.com/track/52P6IsUUXpVlYagiqc9lo3
177,"Some Say - Felix Jaehn Remix",Nea,418499,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
178,Rise,"Lost Frequencies",418003,https://open.spotify.com/track/7HXBG0W8gFJwHUh5mVF9tf
179,Straightenin,Migos,417746,https://open.spotify.com/track/15EH2glphTjcarRjAsc0EB
180,Angeklagt,"Bonez MC",415225,https://open.spotify.com/track/5eu4Lxm5TlI0tKSTTDWJAT
181,Monet,Alligatoah,415008,https://open.spotify.com/track/2vS1HmVoOpvWeFKf7HnWdJ
182,"favorite crime","Olivia Rodrigo",413324,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
183,Runaway,AURORA,413314,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
184,CORALINE,Måneskin,411801,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY
185,"Wenn das Schicksal trifft","Kontra K",410794,https://open.spotify.com/track/1g7alT46CACdfftqj1wxm9
186,Angst,"Apache 207",410469,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
187,Filmriss,K.I.Z,406066,https://open.spotify.com/track/1b3thE0t0BxzLqCuRkqKZE
188,"Danza Kuduro","Don Omar",406005,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw
189,"I Gotta Feeling","Black Eyed Peas",405984,https://open.spotify.com/track/4kLLWz7srcuLKA7Et40PQR
190,"Vermissen (feat. Henning May)",Juju,403273,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
191,Dior,"Pop Smoke",402558,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
192,Kinderkram,K.I.Z,402554,https://open.spotify.com/track/0674eBMZxpwxHWOz1pxly4
193,"Floating Through Space",Sia,401426,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
194,"By Your Side (feat. Tom Grennan)","Calvin Harris",400530,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
195,"In meinem Benz","AK AUSSERKONTROLLE",399764,https://open.spotify.com/track/3dy7SaVShdnjwtx9IXhtzg
196,"Rap über Hass",K.I.Z,398390,https://open.spotify.com/track/21ownMQ51Jqlv8si9CTI6R
197,"Close Your Eyes","Felix Jaehn",398229,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
198,"500 PS","Bonez MC",397451,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
199,"PHONKY TOWN",PlayaPhonk,395879,https://open.spotify.com/track/0BRbI3ZMPXuj9yA7ChDGOW
200,Clubhouse,SSIO,395127,https://open.spotify.com/track/0oSIYJiJNBXIMVCUEhsN1q
